Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
8618,27-12-2020 17:00,12-25-2020 01:00,25-12-2020 13:41,Bangalore North,261,HOMICIDE,78,M,Other,Other Crime,9,No,
8621,26-12-2020 02:00,12-25-2020 04:00,25-12-2020 23:24,Bangalore East,133,ILLEGAL POSSESSION,65,F,Blunt Object,Other Crime,8,Yes,21-01-2021 02:00
8626,27-12-2020 12:00,12-25-2020 09:00,25-12-2020 16:34,Bangalore South,596,PUBLIC INTOXICATION,45,F,Firearm,Other Crime,2,No,
8643,27-12-2020 09:00,12-26-2020 02:00,26-12-2020 20:50,Bangalore East,114,SHOPLIFTING,59,F,Knife,Other Crime,6,Yes,20-03-2021 09:00
8647,28-12-2020 05:00,12-26-2020 06:00,26-12-2020 22:57,Bangalore West,103,ASSAULT,67,F,Poison,Violent Crime,8,Yes,22-01-2021 05:00
8660,27-12-2020 20:00,12-26-2020 19:00,27-12-2020 12:45,Bangalore West,102,DRUG OFFENSE,56,F,Poison,Other Crime,15,Yes,27-01-2021 20:00
8672,29-12-2020 23:00,12-27-2020 07:00,27-12-2020 16:59,Bangalore West,249,PUBLIC INTOXICATION,66,F,None,Other Crime,8,Yes,06-01-2021 23:00
8683,29-12-2020 07:00,12-27-2020 18:00,28-12-2020 07:00,Bangalore East,146,VANDALISM,15,F,Firearm,Other Crime,6,Yes,25-03-2021 07:00
8701,31-12-2020 01:00,12-28-2020 12:00,29-12-2020 06:57,Bangalore West,443,ILLEGAL POSSESSION,23,F,Explosives,Other Crime,15,No,
8717,01-01-2021 03:00,12-29-2020 04:00,29-12-2020 22:15,Bangalore East,504,COUNTERFEITING,39,M,None,Other Crime,9,No,
8723,31-12-2020 14:00,12-29-2020 10:00,29-12-2020 20:03,Bangalore East,171,IDENTITY THEFT,79,F,Explosives,Violent Crime,8,Yes,21-03-2021 14:00
8730,01-01-2021 13:00,12-29-2020 17:00,30-12-2020 01:32,Bangalore East,417,KIDNAPPING,74,M,Knife,Other Crime,7,No,
8744,31-12-2020 00:00,12-30-2020 07:00,30-12-2020 17:48,Bangalore East,162,SHOPLIFTING,38,F,Poison,Other Crime,16,No,
8763,01-01-2021 18:00,12-31-2020 02:00,31-12-2020 06:34,Bangalore West,385,DOMESTIC VIOLENCE,25,F,Explosives,Violent Crime,6,No,
8777,02-01-2021 09:00,12-31-2020 16:00,01-01-2021 03:15,Bangalore West,551,IDENTITY THEFT,34,M,None,Violent Crime,1,No,
8788,02-01-2021 12:00,01-01-2021 03:00,01-01-2021 07:58,Bangalore North,106,TRAFFIC VIOLATION,49,F,None,Traffic Fatality,8,Yes,25-01-2021 12:00
8830,04-01-2021 05:00,01-02-2021 21:00,03-01-2021 20:23,Bangalore North,248,PUBLIC INTOXICATION,14,F,Poison,Other Crime,11,Yes,27-01-2021 05:00
8835,05-01-2021 03:00,01-03-2021 02:00,03-01-2021 14:11,Bangalore East,514,SHOPLIFTING,13,F,Poison,Other Crime,12,No,
8845,05-01-2021 16:00,01-03-2021 12:00,03-01-2021 17:13,Bangalore East,362,ARSON,65,M,Knife,Fire Accident,9,Yes,25-03-2021 16:00
8867,07-01-2021 09:00,01-04-2021 10:00,05-01-2021 02:17,Bangalore East,471,ROBBERY,13,F,None,Violent Crime,16,No,
8875,07-01-2021 12:00,01-04-2021 18:00,05-01-2021 03:02,Bangalore West,301,IDENTITY THEFT,48,F,Poison,Violent Crime,18,No,
8896,06-01-2021 22:00,01-05-2021 15:00,05-01-2021 20:10,Bangalore South,223,SEXUAL ASSAULT,34,F,Other,Violent Crime,19,No,
8918,08-01-2021 03:00,01-06-2021 13:00,06-01-2021 18:36,Bangalore South,533,SHOPLIFTING,53,F,Poison,Other Crime,12,Yes,26-01-2021 03:00
8926,08-01-2021 02:00,01-06-2021 21:00,07-01-2021 18:48,Bangalore North,388,ILLEGAL POSSESSION,16,F,Knife,Other Crime,5,No,
8931,08-01-2021 10:00,01-07-2021 02:00,07-01-2021 21:55,Bangalore North,233,SHOPLIFTING,32,M,Blunt Object,Other Crime,14,Yes,23-03-2021 10:00
8943,07-01-2021 20:00,01-07-2021 14:00,08-01-2021 09:32,Bangalore West,236,VEHICLE - STOLEN,69,M,Knife,Violent Crime,14,Yes,28-02-2021 20:00
8947,09-01-2021 04:00,01-07-2021 18:00,08-01-2021 12:53,Bangalore South,483,BURGLARY,51,F,None,Other Crime,5,No,
8948,09-01-2021 08:00,01-07-2021 19:00,08-01-2021 18:46,Bangalore West,506,DRUG OFFENSE,33,M,Other,Other Crime,5,No,
8953,08-01-2021 07:00,01-08-2021 00:00,08-01-2021 02:34,Bangalore East,454,ILLEGAL POSSESSION,14,F,Knife,Other Crime,4,Yes,05-02-2021 07:00
8956,09-01-2021 03:00,01-08-2021 03:00,08-01-2021 10:18,Bangalore South,374,ASSAULT,73,F,Explosives,Violent Crime,16,No,
8957,08-01-2021 06:00,01-08-2021 04:00,08-01-2021 06:03,Bangalore South,363,VANDALISM,75,F,Blunt Object,Other Crime,9,Yes,02-02-2021 06:00
8963,08-01-2021 11:00,01-08-2021 10:00,08-01-2021 20:17,Bangalore West,286,ROBBERY,58,M,Other,Violent Crime,12,Yes,16-06-2021 11:00
8970,09-01-2021 16:00,01-08-2021 17:00,09-01-2021 04:01,Bangalore North,287,COUNTERFEITING,48,F,Knife,Other Crime,10,Yes,22-03-2021 16:00
8974,11-01-2021 12:00,01-08-2021 21:00,09-01-2021 19:26,Bangalore South,407,VANDALISM,74,F,None,Other Crime,3,Yes,07-04-2021 12:00
8975,09-01-2021 09:00,01-08-2021 22:00,09-01-2021 19:06,Bangalore South,520,PUBLIC INTOXICATION,64,F,None,Other Crime,11,No,
8985,12-01-2021 02:00,01-09-2021 08:00,09-01-2021 11:53,Bangalore West,250,ROBBERY,42,F,Poison,Violent Crime,12,No,
9006,12-01-2021 21:00,01-10-2021 05:00,10-01-2021 11:15,Bangalore West,222,DRUG OFFENSE,76,M,Other,Other Crime,14,Yes,10-03-2021 21:00
9015,13-01-2021 07:00,01-10-2021 14:00,11-01-2021 12:19,Bangalore West,593,FRAUD,63,M,Other,Other Crime,19,No,
9026,12-01-2021 05:00,01-11-2021 01:00,12-01-2021 00:00,Bangalore West,485,BURGLARY,74,M,Poison,Other Crime,17,No,
9033,12-01-2021 07:00,01-11-2021 08:00,12-01-2021 03:20,Bangalore North,475,SEXUAL ASSAULT,25,M,Firearm,Violent Crime,14,No,
9053,14-01-2021 23:00,01-12-2021 04:00,12-01-2021 07:49,Bangalore West,135,ASSAULT,23,F,Poison,Violent Crime,17,Yes,31-03-2021 23:00
9075,14-01-2021 12:00,01-13-2021 02:00,13-01-2021 19:51,Bangalore North,551,ROBBERY,32,M,Explosives,Violent Crime,1,Yes,23-05-2021 12:00
9077,13-01-2021 16:00,01-13-2021 04:00,13-01-2021 21:09,Bangalore South,257,CYBERCRIME,56,M,Knife,Other Crime,2,No,
9088,15-01-2021 20:00,01-13-2021 15:00,14-01-2021 03:08,Bangalore West,119,IDENTITY THEFT,23,M,Blunt Object,Violent Crime,13,No,
9116,17-01-2021 17:00,01-14-2021 19:00,14-01-2021 19:18,Bangalore North,372,EXTORTION,42,M,None,Other Crime,15,No,
9128,16-01-2021 20:00,01-15-2021 07:00,15-01-2021 12:08,Bangalore South,236,BURGLARY,22,M,Other,Other Crime,3,Yes,03-04-2021 20:00
9166,19-01-2021 02:00,01-16-2021 21:00,17-01-2021 14:05,Bangalore South,523,DOMESTIC VIOLENCE,69,F,Other,Violent Crime,3,Yes,19-03-2021 02:00
9171,18-01-2021 16:00,01-17-2021 02:00,17-01-2021 11:45,Bangalore South,116,DOMESTIC VIOLENCE,21,M,Explosives,Violent Crime,6,No,
9193,19-01-2021 20:00,01-18-2021 00:00,18-01-2021 23:36,Bangalore North,188,SEXUAL ASSAULT,56,M,Poison,Violent Crime,4,Yes,04-12-2021 20:00
9210,20-01-2021 16:00,01-18-2021 17:00,19-01-2021 04:22,Bangalore South,398,ROBBERY,17,M,Knife,Violent Crime,14,Yes,17-05-2021 16:00
9256,23-01-2021 03:00,01-20-2021 15:00,20-01-2021 20:17,Bangalore East,353,CYBERCRIME,58,M,Firearm,Other Crime,12,No,
9269,23-01-2021 13:00,01-21-2021 04:00,22-01-2021 02:36,Bangalore East,209,ARSON,54,M,Explosives,Fire Accident,6,No,
9270,21-01-2021 21:00,01-21-2021 05:00,21-01-2021 09:22,Bangalore North,384,VANDALISM,70,M,Explosives,Other Crime,2,Yes,25-03-2021 21:00
9277,23-01-2021 20:00,01-21-2021 12:00,22-01-2021 03:50,Bangalore South,322,DRUG OFFENSE,43,M,Knife,Other Crime,2,No,
9282,22-01-2021 19:00,01-21-2021 17:00,22-01-2021 01:01,Bangalore East,270,BURGLARY,67,F,Other,Other Crime,18,No,
9309,25-01-2021 18:00,01-22-2021 20:00,23-01-2021 09:15,Bangalore East,106,HOMICIDE,52,X,Blunt Object,Other Crime,12,Yes,14-08-2021 18:00
9318,23-01-2021 18:00,01-23-2021 05:00,23-01-2021 07:46,Bangalore North,232,IDENTITY THEFT,33,M,Blunt Object,Violent Crime,17,No,
9323,25-01-2021 04:00,01-23-2021 10:00,24-01-2021 04:52,Bangalore South,288,TRAFFIC VIOLATION,53,X,Other,Traffic Fatality,6,No,
9325,25-01-2021 03:00,01-23-2021 12:00,23-01-2021 19:45,Bangalore North,161,SHOPLIFTING,63,F,Blunt Object,Other Crime,13,Yes,19-03-2021 03:00
9333,25-01-2021 23:00,01-23-2021 20:00,23-01-2021 23:54,Bangalore North,324,ASSAULT,18,M,Explosives,Violent Crime,14,Yes,14-02-2021 23:00
9335,25-01-2021 15:00,01-23-2021 22:00,24-01-2021 10:48,Bangalore North,415,COUNTERFEITING,21,F,Knife,Other Crime,15,Yes,05-02-2021 15:00
9348,25-01-2021 22:00,01-24-2021 11:00,25-01-2021 05:24,Bangalore East,503,FRAUD,54,M,Firearm,Other Crime,14,No,
9357,26-01-2021 12:00,01-24-2021 20:00,25-01-2021 14:15,Bangalore South,357,DRUG OFFENSE,59,F,Firearm,Other Crime,7,Yes,08-04-2021 12:00
9360,26-01-2021 17:00,01-24-2021 23:00,25-01-2021 13:26,Bangalore East,325,EXTORTION,72,F,Firearm,Other Crime,18,No,
9362,25-01-2021 20:00,01-25-2021 01:00,25-01-2021 09:41,Bangalore West,164,PUBLIC INTOXICATION,45,F,Blunt Object,Other Crime,8,No,
9379,28-01-2021 06:00,01-25-2021 18:00,26-01-2021 03:24,Bangalore East,534,TRAFFIC VIOLATION,75,F,Firearm,Traffic Fatality,3,Yes,29-01-2021 06:00
9419,28-01-2021 09:00,01-27-2021 10:00,27-01-2021 22:10,Bangalore West,347,PUBLIC INTOXICATION,18,F,Poison,Other Crime,18,No,
9429,29-01-2021 18:00,01-27-2021 20:00,28-01-2021 01:40,Bangalore East,485,DRUG OFFENSE,26,F,Firearm,Other Crime,11,Yes,21-02-2021 18:00
9437,29-01-2021 07:00,01-28-2021 04:00,28-01-2021 12:50,Bangalore North,393,FRAUD,75,M,Blunt Object,Other Crime,17,No,
9460,29-01-2021 15:00,01-29-2021 03:00,29-01-2021 15:00,Bangalore East,121,VEHICLE - STOLEN,77,F,Blunt Object,Violent Crime,13,Yes,24-04-2021 15:00
9475,31-01-2021 06:00,01-29-2021 18:00,30-01-2021 13:51,Bangalore North,112,PUBLIC INTOXICATION,49,F,Explosives,Other Crime,17,No,
9480,01-02-2021 21:00,01-29-2021 23:00,30-01-2021 16:46,Bangalore West,598,FRAUD,43,F,Blunt Object,Other Crime,8,Yes,28-03-2021 21:00
9487,01-02-2021 10:00,01-30-2021 06:00,30-01-2021 14:45,Bangalore North,257,IDENTITY THEFT,23,F,Knife,Violent Crime,13,Yes,23-04-2021 10:00
9492,30-01-2021 13:00,01-30-2021 11:00,30-01-2021 15:14,Bangalore East,433,ROBBERY,55,M,None,Violent Crime,10,Yes,14-04-2021 13:00
9498,31-01-2021 08:00,01-30-2021 17:00,31-01-2021 15:51,Bangalore North,429,DRUG OFFENSE,57,F,Explosives,Other Crime,2,Yes,30-03-2021 08:00
9512,31-01-2021 15:00,01-31-2021 07:00,01-02-2021 02:14,Bangalore East,552,ARSON,77,F,Explosives,Fire Accident,8,No,
9531,01-02-2021 20:00,02-01-2021 02:00,01-02-2021 19:00,Bangalore West,381,HOMICIDE,56,F,Blunt Object,Other Crime,12,Yes,21-11-2022 20:00
9536,02-02-2021 18:00,02-01-2021 07:00,02-02-2021 03:59,Bangalore North,125,ASSAULT,54,F,Firearm,Violent Crime,11,No,
9537,02-02-2021 16:00,02-01-2021 08:00,02-02-2021 05:04,Bangalore East,178,ILLEGAL POSSESSION,57,F,Blunt Object,Other Crime,13,No,
9539,02-02-2021 00:00,02-01-2021 10:00,02-02-2021 05:01,Bangalore West,173,TRAFFIC VIOLATION,78,M,None,Traffic Fatality,9,Yes,26-02-2021 00:00
9544,03-02-2021 17:00,02-01-2021 15:00,01-02-2021 22:15,Bangalore North,171,FRAUD,75,M,Knife,Other Crime,14,Yes,21-03-2021 17:00
9545,03-02-2021 22:00,02-01-2021 16:00,02-02-2021 10:51,Bangalore North,312,IDENTITY THEFT,56,M,None,Violent Crime,16,Yes,23-03-2021 22:00
9559,04-02-2021 02:00,02-02-2021 06:00,03-02-2021 01:38,Bangalore West,147,IDENTITY THEFT,49,M,Blunt Object,Violent Crime,2,Yes,05-04-2021 02:00
9569,04-02-2021 07:00,02-02-2021 16:00,03-02-2021 12:25,Bangalore South,474,DRUG OFFENSE,60,F,Explosives,Other Crime,5,No,
9581,03-02-2021 12:00,02-03-2021 04:00,04-02-2021 03:20,Bangalore North,228,ILLEGAL POSSESSION,50,F,Poison,Other Crime,18,Yes,28-02-2021 12:00
9587,04-02-2021 22:00,02-03-2021 10:00,03-02-2021 12:24,Bangalore West,296,ASSAULT,35,M,None,Violent Crime,8,No,
9591,04-02-2021 01:00,02-03-2021 14:00,04-02-2021 02:57,Bangalore West,265,SHOPLIFTING,79,F,Firearm,Other Crime,19,No,
9595,05-02-2021 04:00,02-03-2021 18:00,03-02-2021 18:40,Bangalore West,384,HOMICIDE,11,F,Firearm,Other Crime,11,Yes,14-12-2021 04:00
9598,06-02-2021 05:00,02-03-2021 21:00,04-02-2021 18:16,Bangalore West,240,HOMICIDE,70,M,None,Other Crime,16,Yes,11-08-2021 05:00
9603,05-02-2021 03:00,02-04-2021 02:00,04-02-2021 10:29,Bangalore East,359,HOMICIDE,49,M,Firearm,Other Crime,8,Yes,15-03-2022 03:00
9615,07-02-2021 05:00,02-04-2021 14:00,05-02-2021 05:28,Bangalore South,552,ARSON,42,M,Knife,Fire Accident,4,No,
9626,05-02-2021 09:00,02-05-2021 01:00,05-02-2021 07:38,Bangalore South,479,EXTORTION,23,F,Explosives,Other Crime,14,No,
9631,06-02-2021 19:00,02-05-2021 06:00,05-02-2021 21:11,Bangalore East,458,ROBBERY,48,F,Blunt Object,Violent Crime,5,No,
9644,07-02-2021 02:00,02-05-2021 19:00,05-02-2021 23:17,Bangalore South,331,ARSON,33,M,Blunt Object,Fire Accident,10,Yes,16-02-2021 02:00
9648,07-02-2021 12:00,02-05-2021 23:00,06-02-2021 03:11,Bangalore North,285,VEHICLE - STOLEN,40,M,Poison,Violent Crime,18,No,
9657,06-02-2021 20:00,02-06-2021 08:00,07-02-2021 05:37,Bangalore East,578,SEXUAL ASSAULT,47,M,Firearm,Violent Crime,12,No,
9658,09-02-2021 04:00,02-06-2021 09:00,06-02-2021 13:02,Bangalore South,422,EXTORTION,52,M,Other,Other Crime,6,No,
9679,09-02-2021 04:00,02-07-2021 06:00,07-02-2021 20:55,Bangalore North,119,KIDNAPPING,73,M,Poison,Other Crime,10,No,
9697,10-02-2021 19:00,02-08-2021 00:00,08-02-2021 08:28,Bangalore East,242,BURGLARY,54,M,Firearm,Other Crime,16,No,
9702,10-02-2021 08:00,02-08-2021 05:00,08-02-2021 13:03,Bangalore East,309,DOMESTIC VIOLENCE,41,F,Blunt Object,Violent Crime,7,No,
9714,10-02-2021 07:00,02-08-2021 17:00,09-02-2021 13:12,Bangalore East,238,DOMESTIC VIOLENCE,42,F,Other,Violent Crime,11,No,
9727,09-02-2021 16:00,02-09-2021 06:00,09-02-2021 20:12,Bangalore South,551,COUNTERFEITING,75,M,Other,Other Crime,2,No,
9731,11-02-2021 23:00,02-09-2021 10:00,09-02-2021 22:02,Bangalore North,386,FIREARM OFFENSE,35,F,Poison,Fire Accident,9,No,
9745,10-02-2021 01:00,02-10-2021 00:00,10-02-2021 16:40,Bangalore South,543,ROBBERY,63,M,Explosives,Violent Crime,5,Yes,18-06-2021 01:00
9752,12-02-2021 00:00,02-10-2021 07:00,10-02-2021 21:39,Bangalore East,186,HOMICIDE,77,F,Knife,Other Crime,3,No,
9758,11-02-2021 04:00,02-10-2021 13:00,11-02-2021 11:15,Bangalore West,566,PUBLIC INTOXICATION,30,F,Other,Other Crime,6,No,
9774,14-02-2021 03:00,02-11-2021 05:00,11-02-2021 05:12,Bangalore North,116,PUBLIC INTOXICATION,65,F,Blunt Object,Other Crime,2,Yes,08-03-2021 03:00
9778,14-02-2021 05:00,02-11-2021 09:00,11-02-2021 15:39,Bangalore South,273,PUBLIC INTOXICATION,49,F,Other,Other Crime,6,Yes,08-03-2021 05:00
9781,12-02-2021 12:00,02-11-2021 12:00,11-02-2021 12:15,Bangalore West,381,CYBERCRIME,52,F,Explosives,Other Crime,12,No,
9790,12-02-2021 18:00,02-11-2021 21:00,12-02-2021 02:58,Bangalore South,544,KIDNAPPING,42,F,Other,Other Crime,2,No,
9797,14-02-2021 15:00,02-12-2021 04:00,12-02-2021 18:22,Bangalore West,353,VEHICLE - STOLEN,22,F,Firearm,Violent Crime,16,No,
9801,12-02-2021 16:00,02-12-2021 08:00,12-02-2021 11:38,Bangalore North,157,COUNTERFEITING,45,F,Other,Other Crime,16,No,
9813,13-02-2021 00:00,02-12-2021 20:00,13-02-2021 00:40,Bangalore East,288,COUNTERFEITING,22,F,Explosives,Other Crime,17,Yes,02-04-2021 00:00
9827,16-02-2021 05:00,02-13-2021 10:00,14-02-2021 01:18,Bangalore South,285,FIREARM OFFENSE,77,M,Blunt Object,Fire Accident,5,Yes,13-03-2021 05:00
9852,17-02-2021 02:00,02-14-2021 11:00,15-02-2021 00:40,Bangalore South,398,SHOPLIFTING,50,M,Poison,Other Crime,10,No,
9855,16-02-2021 14:00,02-14-2021 14:00,15-02-2021 08:02,Bangalore North,125,COUNTERFEITING,54,M,Blunt Object,Other Crime,18,Yes,26-03-2021 14:00
9887,18-02-2021 05:00,02-15-2021 22:00,16-02-2021 13:28,Bangalore West,346,HOMICIDE,75,M,Other,Other Crime,7,No,
9891,17-02-2021 14:00,02-16-2021 02:00,16-02-2021 14:15,Bangalore South,566,FIREARM OFFENSE,39,F,Firearm,Fire Accident,2,No,
9900,17-02-2021 12:00,02-16-2021 11:00,17-02-2021 10:57,Bangalore West,156,FRAUD,55,F,Poison,Other Crime,1,Yes,25-02-2021 12:00
9904,18-02-2021 18:00,02-16-2021 15:00,17-02-2021 09:47,Bangalore West,534,FRAUD,65,M,Blunt Object,Other Crime,19,No,
9906,18-02-2021 14:00,02-16-2021 17:00,16-02-2021 21:51,Bangalore East,554,ILLEGAL POSSESSION,32,M,Knife,Other Crime,14,Yes,22-04-2021 14:00
9915,17-02-2021 16:00,02-17-2021 02:00,17-02-2021 09:10,Bangalore South,332,DOMESTIC VIOLENCE,43,F,Knife,Violent Crime,6,No,
9918,18-02-2021 17:00,02-17-2021 05:00,17-02-2021 12:36,Bangalore East,580,HOMICIDE,72,F,Knife,Other Crime,11,No,
9923,18-02-2021 06:00,02-17-2021 10:00,17-02-2021 14:49,Bangalore East,581,CYBERCRIME,35,F,Other,Other Crime,14,Yes,11-03-2021 06:00
9938,20-02-2021 12:00,02-18-2021 01:00,18-02-2021 01:31,Bangalore West,554,ILLEGAL POSSESSION,28,F,None,Other Crime,4,No,
9987,22-02-2021 18:00,02-20-2021 02:00,20-02-2021 22:21,Bangalore North,593,COUNTERFEITING,15,F,Other,Other Crime,8,Yes,05-05-2021 18:00
9997,22-02-2021 02:00,02-20-2021 12:00,21-02-2021 10:05,Bangalore West,389,BURGLARY,69,F,None,Other Crime,15,No,
10000,20-02-2021 16:00,02-20-2021 15:00,20-02-2021 20:13,Bangalore South,389,ASSAULT,40,F,Firearm,Violent Crime,2,No,
10002,20-02-2021 23:00,02-20-2021 17:00,20-02-2021 17:29,Bangalore East,566,DRUG OFFENSE,68,F,Explosives,Other Crime,9,No,
10003,22-02-2021 07:00,02-20-2021 18:00,21-02-2021 07:14,Bangalore East,515,ROBBERY,23,F,Knife,Violent Crime,2,Yes,12-07-2021 07:00
10018,21-02-2021 18:00,02-21-2021 09:00,21-02-2021 20:37,Bangalore West,160,TRAFFIC VIOLATION,66,F,Other,Traffic Fatality,15,Yes,07-03-2021 18:00
10023,24-02-2021 13:00,02-21-2021 14:00,21-02-2021 19:03,Bangalore South,148,FRAUD,42,F,Blunt Object,Other Crime,1,No,
10029,24-02-2021 12:00,02-21-2021 20:00,22-02-2021 00:36,Bangalore North,180,DOMESTIC VIOLENCE,68,F,Firearm,Violent Crime,11,No,
10045,25-02-2021 07:00,02-22-2021 12:00,22-02-2021 12:46,Bangalore North,367,KIDNAPPING,45,F,None,Other Crime,7,Yes,25-05-2021 07:00
10068,25-02-2021 15:00,02-23-2021 11:00,24-02-2021 01:58,Bangalore West,154,PUBLIC INTOXICATION,39,F,Knife,Other Crime,10,No,
10070,26-02-2021 10:00,02-23-2021 13:00,23-02-2021 13:40,Bangalore South,205,FRAUD,37,F,None,Other Crime,19,Yes,10-04-2021 10:00
10078,26-02-2021 03:00,02-23-2021 21:00,24-02-2021 11:06,Bangalore South,326,ROBBERY,43,F,Other,Violent Crime,13,Yes,25-06-2021 03:00
10082,25-02-2021 21:00,02-24-2021 01:00,24-02-2021 14:04,Bangalore East,274,DOMESTIC VIOLENCE,63,M,Poison,Violent Crime,14,Yes,27-04-2021 21:00
10096,27-02-2021 05:00,02-24-2021 15:00,24-02-2021 22:07,Bangalore West,188,EXTORTION,46,F,Poison,Other Crime,19,No,
10122,26-02-2021 09:00,02-25-2021 17:00,26-02-2021 06:56,Bangalore North,581,FIREARM OFFENSE,74,F,Other,Fire Accident,2,No,
10126,25-02-2021 23:00,02-25-2021 21:00,26-02-2021 19:43,Bangalore North,569,BURGLARY,62,M,Firearm,Other Crime,13,Yes,02-05-2021 23:00
10132,28-02-2021 20:00,02-26-2021 03:00,26-02-2021 09:45,Bangalore North,290,DRUG OFFENSE,21,M,Knife,Other Crime,3,No,
10138,27-02-2021 08:00,02-26-2021 09:00,26-02-2021 15:13,Bangalore South,152,CYBERCRIME,42,M,Blunt Object,Other Crime,11,No,
10155,28-02-2021 09:00,02-27-2021 02:00,27-02-2021 18:49,Bangalore South,189,ILLEGAL POSSESSION,43,F,Blunt Object,Other Crime,19,Yes,27-05-2021 09:00
10160,28-02-2021 17:00,02-27-2021 07:00,27-02-2021 20:46,Bangalore North,181,SHOPLIFTING,42,F,Knife,Other Crime,16,Yes,27-03-2021 17:00
10170,27-02-2021 22:00,02-27-2021 17:00,27-02-2021 18:59,Bangalore South,288,EXTORTION,75,F,Poison,Other Crime,15,No,
10180,28-02-2021 16:00,02-28-2021 03:00,28-02-2021 06:31,Bangalore South,495,ILLEGAL POSSESSION,28,F,Firearm,Other Crime,9,No,
10223,02-03-2021 16:00,03-01-2021 22:00,02-03-2021 06:02,Bangalore South,259,TRAFFIC VIOLATION,26,F,Explosives,Traffic Fatality,16,Yes,27-03-2021 16:00
10224,02-03-2021 22:00,03-01-2021 23:00,02-03-2021 15:27,Bangalore West,543,BURGLARY,23,M,Knife,Other Crime,15,Yes,25-06-2021 22:00
10236,03-03-2021 12:00,03-02-2021 11:00,02-03-2021 19:35,Bangalore North,391,BURGLARY,12,F,Other,Other Crime,5,No,
10256,03-03-2021 08:00,03-03-2021 07:00,03-03-2021 23:48,Bangalore North,169,VANDALISM,66,M,Blunt Object,Other Crime,9,No,
10263,05-03-2021 13:00,03-03-2021 14:00,03-03-2021 14:17,Bangalore East,581,VEHICLE - STOLEN,12,F,Knife,Violent Crime,2,Yes,19-04-2021 13:00
10271,05-03-2021 13:00,03-03-2021 22:00,04-03-2021 16:23,Bangalore North,499,ARSON,53,M,Poison,Fire Accident,13,Yes,25-04-2021 13:00
10301,08-03-2021 03:00,03-05-2021 04:00,05-03-2021 08:00,Bangalore West,220,FRAUD,18,F,Poison,Other Crime,3,No,
10311,06-03-2021 03:00,03-05-2021 14:00,05-03-2021 19:40,Bangalore West,140,VEHICLE - STOLEN,43,M,Firearm,Violent Crime,3,No,
10316,06-03-2021 17:00,03-05-2021 19:00,06-03-2021 09:49,Bangalore South,166,IDENTITY THEFT,38,M,Firearm,Violent Crime,17,Yes,09-04-2021 17:00
10317,08-03-2021 16:00,03-05-2021 20:00,06-03-2021 06:10,Bangalore North,406,SHOPLIFTING,12,F,None,Other Crime,16,Yes,29-04-2021 16:00
10322,08-03-2021 04:00,03-06-2021 01:00,06-03-2021 16:13,Bangalore South,296,FRAUD,47,F,None,Other Crime,17,No,
10325,07-03-2021 14:00,03-06-2021 04:00,06-03-2021 19:17,Bangalore East,169,KIDNAPPING,19,F,Poison,Other Crime,4,No,
10330,08-03-2021 23:00,03-06-2021 09:00,06-03-2021 22:41,Bangalore East,376,ASSAULT,37,F,Blunt Object,Violent Crime,12,No,
10353,09-03-2021 06:00,03-07-2021 08:00,07-03-2021 21:59,Bangalore East,243,COUNTERFEITING,16,F,Blunt Object,Other Crime,2,No,
10354,07-03-2021 13:00,03-07-2021 09:00,07-03-2021 17:48,Bangalore East,304,PUBLIC INTOXICATION,28,F,Other,Other Crime,11,No,
10362,09-03-2021 21:00,03-07-2021 17:00,08-03-2021 00:13,Bangalore South,241,SEXUAL ASSAULT,22,F,None,Violent Crime,17,No,
10377,11-03-2021 01:00,03-08-2021 08:00,09-03-2021 00:36,Bangalore South,537,ILLEGAL POSSESSION,69,F,Poison,Other Crime,1,No,
10380,11-03-2021 01:00,03-08-2021 11:00,08-03-2021 14:22,Bangalore South,371,KIDNAPPING,10,F,Explosives,Other Crime,4,No,
10407,11-03-2021 18:00,03-09-2021 14:00,10-03-2021 02:29,Bangalore West,329,DRUG OFFENSE,75,M,Other,Other Crime,18,No,
10424,11-03-2021 19:00,03-10-2021 07:00,10-03-2021 19:08,Bangalore North,319,CYBERCRIME,74,F,None,Other Crime,4,No,
10452,13-03-2021 17:00,03-11-2021 11:00,11-03-2021 20:14,Bangalore North,295,ILLEGAL POSSESSION,38,F,Knife,Other Crime,19,No,
10460,13-03-2021 19:00,03-11-2021 19:00,12-03-2021 14:29,Bangalore West,449,FIREARM OFFENSE,29,M,Explosives,Fire Accident,5,Yes,21-05-2021 19:00
10480,13-03-2021 03:00,03-12-2021 15:00,13-03-2021 03:25,Bangalore East,143,VANDALISM,47,F,None,Other Crime,14,Yes,04-04-2021 03:00
10481,13-03-2021 16:00,03-12-2021 16:00,13-03-2021 01:51,Bangalore East,354,PUBLIC INTOXICATION,45,M,Knife,Other Crime,4,Yes,07-04-2021 16:00
10484,14-03-2021 21:00,03-12-2021 19:00,13-03-2021 14:10,Bangalore West,522,SEXUAL ASSAULT,58,F,Other,Violent Crime,15,Yes,14-02-2022 21:00
10487,13-03-2021 05:00,03-12-2021 22:00,12-03-2021 23:54,Bangalore North,502,TRAFFIC VIOLATION,34,F,Explosives,Traffic Fatality,13,Yes,11-04-2021 05:00
