areaType,availability,location,size,society,totalSqft,bath,balcony,price,region
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,BrontLa,1330,2.0,1.0,86.98,Bangalore East
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,A rtsai,1400,2.0,1.0,73.0,Bangalore South
Built-up  Area,18-Dec,Whitefield,2 BHK,,1192,2.0,1.0,71.0,Bangalore East
Built-up  Area,Ready To Move,3rd Block Jayanagar,2 BHK,,1000,2.0,1.0,130.0,Bangalore South
Super built-up  Area,19-Jul,Sarjapur  Road,1 BHK,Sasta S,580 - 650,1.0,0.0,17.835,Bangalore South
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1490,3.0,2.0,100.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1035,2.0,1.0,41.39,Bangalore South
Plot  Area,Ready To Move,Kadugodi,4 Bedroom,,3750,4.0,0.0,210.0,Bangalore East
Built-up  Area,Ready To Move,Sarjapur,2 BHK,,1195,2.0,1.0,42.0,Bangalore South
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,Klort C,1750,3.0,2.0,95.0,Bangalore South
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1180,2.0,2.0,58.0,Bangalore North
Built-up  Area,Ready To Move,Padmanabhanagar,5 Bedroom,,3680,4.0,2.0,440.0,Bangalore South
Built-up  Area,Ready To Move,Hormavu,3 BHK,,2100,3.0,2.0,73.0,Bangalore South
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1128,2.0,2.0,38.24,Bangalore South
Built-up  Area,Ready To Move,Ulsoor,3 BHK,,2700,3.0,1.0,450.0,Bangalore East
Built-up  Area,Ready To Move,HSR Layout,3 BHK,,2424,3.0,2.0,90.0,Bangalore South
Built-up  Area,Ready To Move,Yelahanka,3 Bedroom,,2710,3.0,1.0,251.0,Bangalore North
Plot  Area,Ready To Move,Konanakunte Cross,2 Bedroom,,3040,1.0,1.0,180.0,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,46.55,Bangalore South
Plot  Area,Ready To Move,Uttarahalli,5 Bedroom,,400,5.0,1.0,200.0,Bangalore South
Plot  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,FiriaVi,1808,4.0,2.0,80.27,Bangalore South
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,3516,4.0,3.0,540.0,Bangalore South
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,46.0,Bangalore South
Super built-up  Area,21-Oct,Kanakpura Road,2 BHK,PrarePa,900,2.0,1.0,46.0,Bangalore South
Built-up  Area,Ready To Move,Singasandra,4 Bedroom,,3850,6.0,3.0,195.0,Bangalore South
Plot  Area,Ready To Move,Kogilu,7 Bedroom,,925,7.0,3.0,88.0,Bangalore North
Super built-up  Area,Ready To Move,Koramangala,2 BHK,,1290,2.0,3.0,100.0,Bangalore South
Built-up  Area,Ready To Move,Yelahanka,6 Bedroom,,3770,6.0,3.0,110.0,Bangalore North
Plot  Area,Ready To Move,Tavarekere,4 Bedroom,,1200,4.0,2.0,72.0,Bangalore South
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,33.0,Bangalore South
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1537,3.0,3.0,120.0,Bangalore North
Super built-up  Area,17-Oct,Whitefield,2 BHK,Asarqz ,1277,2.0,1.0,61.3,Bangalore East
Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1985,4.0,2.0,189.0,Bangalore North
Plot  Area,Ready To Move,Kengeri,5 Bedroom,,8000,5.0,,500.0,Bangalore South
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,890,2.0,,40.0,Bangalore North
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,,1200,5.0,2.0,110.0,Bangalore South
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5.0,2.0,215.0,Bangalore North
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Vaunei ,4111,4.0,1.0,310.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,SNncypa,975,2.0,2.0,37.5,Bangalore South
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2.0,1.0,31.89,Bangalore South
Plot  Area,Ready To Move,Cooke Town,3 Bedroom,,2572,3.0,3.0,390.0,Bangalore North
Super built-up  Area,Ready To Move,Bommanahalli,1 BHK,Prtusth,520,1.0,0.0,19.5,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000,5.0,,212.0,Bangalore East
Super built-up  Area,18-May,Whitefield,2 BHK,SSdhimr,1185,2.0,2.0,40.0,Bangalore East
Super built-up  Area,18-Dec,Kudlu Gate,3 BHK,Sanzaat,1564,2.0,1.0,92.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,DSndsod,3425 - 3435,6.0,0.0,228.5,Bangalore South
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,Sancei ,1100,2.0,2.0,37.1,Bangalore South
Built-up  Area,Ready To Move,Kothannur,3 BHK,Esale O,1300,2.0,0.0,60.0,Bangalore South
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1600,3.0,2.0,75.0,Bangalore East
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482,2.0,1.0,92.0,Bangalore North
Super built-up  Area,Ready To Move,Shampura,2 BHK,,1200,2.0,3.0,53.0,Bangalore North
Plot  Area,Ready To Move,Gubbalala,3 Bedroom,,600,3.0,2.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,Kengeri,2 BHK,,1200,2.0,0.0,58.0,Bangalore South
Built-up  Area,Ready To Move,Nagarbhavi,3 Bedroom,,2400,3.0,0.0,160.0,Bangalore South
Super built-up  Area,19-Dec,Marathahalli,3 BHK,PrensKe,1469,3.0,1.0,89.0,Bangalore East
Super built-up  Area,19-Dec,Electronics City Phase 1,2 BHK,,1160,2.0,1.0,52.0,Bangalore South
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1550,2.0,3.0,52.0,Bangalore South
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1745,3.0,2.0,125.0,Bangalore South
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,CaaveEn,1700,3.0,1.0,180.0,Bangalore North
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,Soianal,2700,4.0,1.0,270.0,Bangalore East
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,,1200,3.0,1.0,72.0,Bangalore East
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1266,2.0,2.0,59.0,Bangalore South
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Srkha S,1060,2.0,1.0,62.0,Bangalore South
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,500,1.0,1.0,17.0,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,,1080,2.0,2.0,43.2,Bangalore South
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,SNavenc,920,2.0,2.0,33.0,Bangalore South
Built-up  Area,Ready To Move,Harlur,2 BHK,SrEndPo,1310,2.0,1.0,50.0,Bangalore South
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1650,2.0,1.0,75.0,Bangalore North
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,2 BHK,Prllsan,1157,2.0,1.0,53.8,Bangalore South
Super built-up  Area,Ready To Move,Viswapriyanagar.begur Road.bommanahalli.,4 BHK,,2400,5.0,1.0,85.0,Bangalore South
Super built-up  Area,Ready To Move,Konanakunte,4 BHK,Siisega,3000,4.0,3.0,160.0,Bangalore South
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2.0,2.0,74.39,Bangalore South
Built-up  Area,Ready To Move,Yelahanka,3 BHK,PrrloMo,1815,3.0,2.0,82.0,Bangalore North
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Maana E,3900,4.0,3.0,300.0,Bangalore South
Super built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1000,2.0,1.0,28.88,Bangalore South
Super built-up  Area,18-May,Ananth Nagar,2 BHK,,982,2.0,2.0,24.55,Bangalore South
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Puachal,1232,2.0,2.0,89.0,Bangalore North
Super built-up  Area,19-Dec,Binny Pete,3 BHK,Shestlo,1282,3.0,2.0,178.0,Bangalore West
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,Prensya,654,1.0,1.0,38.4,Bangalore North
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1181,2.0,0.0,55.0,Bangalore South
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,,1200,4.0,2.0,245.0,Bangalore South
Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1306,3.0,2.0,54.65,Bangalore East
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Nillsre,1626,3.0,3.0,89.0,Bangalore East
Built-up  Area,Ready To Move,"Pai layout , Mahadevapura",6 BHK,,2700,4.0,2.0,214.0,Bangalore East
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Sudama ,1585,3.0,2.0,88.0,Bangalore East
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1370,2.0,1.0,56.17,Bangalore South
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,3250,5.0,3.0,900.0,Bangalore East
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Goelsn ,1495,2.0,2.0,90.0,Bangalore South
Plot  Area,Ready To Move,Akshayanagara East,5 Bedroom,,2400,4.0,1.0,300.0,Bangalore South
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630 - 3800,6.0,0.0,224.5,Bangalore North
Super built-up  Area,Ready To Move,Kadugodi,5 BHK,,1100,5.0,0.0,135.0,Bangalore East
Super built-up  Area,21-Dec,Whitefield,1 BHK,SudenEd,660 - 670,,,28.585,Bangalore East
Plot  Area,Ready To Move,Hebbal Kempapura,4 Bedroom,,1200,4.0,2.0,215.0,Bangalore North
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,,1150,2.0,2.0,46.0,Bangalore North
Super built-up  Area,Ready To Move,Hebbal,2 BHK,,1080,2.0,1.0,54.0,Bangalore North
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,Brtiael,1645,3.0,2.0,100.0,Bangalore South
Super built-up  Area,Ready To Move,Doddanekundi,3 BHK,AkletBa,1760,3.0,3.0,176.0,Bangalore East
Plot  Area,Ready To Move,Ramagondanahalli,1 Bedroom,,540,1.0,0.0,30.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Maaveal,1300,2.0,2.0,60.0,Bangalore South
Built-up  Area,Ready To Move,Ulsoor,2 BHK,,1275,2.0,,120.0,Bangalore East
Super built-up  Area,18-Apr,Panathur,2 BHK,Prcesvy,1193,2.0,1.0,86.0,Bangalore East
Super built-up  Area,18-Dec,Chandapura,2 BHK,,850,2.0,1.0,25.4,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PadgeOa,1678,3.0,3.0,70.0,Bangalore East
Built-up  Area,Ready To Move,Gunjur,3 BHK,NDrelau,1600,3.0,3.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1750,3.0,2.0,84.0,Bangalore South
Super built-up  Area,18-Nov,Whitefield,2 BHK,,1125,2.0,2.0,62.0,Bangalore East
Plot  Area,Ready To Move,R.T. Nagar,2 Bedroom,,1200,2.0,1.0,120.0,Bangalore North
Built-up  Area,18-Dec,Electronic City Phase II,3 BHK,Sryalan,1320,2.0,1.0,38.13,Bangalore South
Super built-up  Area,Ready To Move,2Electronic City Phase II,27 BHK,,8000,27.0,0.0,230.0,Bangalore South
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,TNaldme,1100,2.0,1.0,50.0,Bangalore South
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Gaent R,882,2.0,1.0,30.0,Bangalore South
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,37.0,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,Bhmesy ,620 - 933,,,48.145,Bangalore North
Built-up  Area,Ready To Move,Whitefield,2 BHK,Gotis A,1280,2.0,0.0,85.0,Bangalore East
Built-up  Area,Ready To Move,3rd Block Banashankari,4 Bedroom,,1700,2.0,1.0,550.0,Bangalore South
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,GRlpank,1300,2.0,3.0,57.0,Bangalore South
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1757,3.0,2.0,132.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,1240,2.0,1.0,44.0,Bangalore South
Super built-up  Area,18-Feb,EPIP Zone,2 BHK,BrontLa,1330,2.0,1.0,93.36,Bangalore East
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,MBodsen,1062,2.0,1.0,42.47,Bangalore South
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460,2.0,2.0,72.0,Bangalore South
Plot  Area,18-Dec,Whitefield,3 Bedroom,,1200,3.0,2.0,68.5,Bangalore East
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,,912,2.0,1.0,39.0,Bangalore South
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Sosisic,142.61Sq. Meter,3.0,1.0,115.0,Bangalore South
Plot  Area,Ready To Move,Prithvi Layout,4 Bedroom,Prigh L,2028,4.0,3.0,162.0,Bangalore West
Super built-up  Area,19-Apr,Mysore Road,2 BHK,Brama P,980,2.0,1.0,45.47,Bangalore South
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1000,2.0,2.0,40.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ahriaup,1050,2.0,1.0,62.0,Bangalore South
Super built-up  Area,Ready To Move,Domlur,3 BHK,Saiewas,1875,2.0,2.0,150.0,Bangalore East
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,,1065,2.0,1.0,42.6,Bangalore North
Built-up  Area,Ready To Move,Sanjay nagar,3 BHK,,1800,3.0,2.0,180.0,Bangalore North
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,2 BHK,,1163,2.0,2.0,98.86,Bangalore South
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,,1098,2.0,1.0,72.0,Bangalore North
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,4000,4.0,2.0,330.0,Bangalore East
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Prensya,1705,3.0,1.0,74.16,Bangalore North
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1500,3.0,1.0,160.0,Bangalore East
Built-up  Area,Ready To Move,Hebbal,2 BHK,AkncyRe,1100,2.0,2.0,50.0,Bangalore North
Super built-up  Area,18-May,Hebbal,2 BHK,Arcia S,812,2.0,2.0,55.0,Bangalore North
Super built-up  Area,19-Dec,Binny Pete,4 BHK,Shestlo,2695 - 2940,,,204.0,Bangalore West
Super built-up  Area,Ready To Move,Doddanekundi,2 BHK,,1280,2.0,2.0,40.0,Bangalore East
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BruntPa,1420,2.0,2.0,136.0,Bangalore East
Plot  Area,Ready To Move,1 Ramamurthy Nagar,11 Bedroom,,1200,11.0,0.0,170.0,Bangalore East
Plot  Area,Ready To Move,Banashankari Stage II,4 Bedroom,,1200,2.0,1.0,150.0,Bangalore South
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2774,4.0,,207.0,Bangalore East
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3 BHK,,2000,3.0,2.0,85.0,Bangalore West
Super built-up  Area,19-Mar,Hennur Road,3 BHK,Puachal,1482,2.0,2.0,83.73,Bangalore North
Super built-up  Area,17-Dec,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,127.0,Bangalore East
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1184,2.0,3.0,53.0,Bangalore North
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1220,3.0,1.0,35.23,Bangalore South
Built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,2.0,1.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1180,2.0,2.0,72.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Prtates,1697,3.0,2.0,108.0,Bangalore East
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,,550,2.0,1.0,26.0,Bangalore North
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,,1027,2.0,2.0,44.0,Bangalore South
Super built-up  Area,21-May,Kanakpura Road,3 BHK,GolusLi,1699,3.0,3.0,81.94,Bangalore South
Built-up  Area,Ready To Move,Whitefield,2 BHK,Viaree ,1205,2.0,2.0,58.0,Bangalore East
Super built-up  Area,18-Feb,Horamavu Agara,2 BHK,,950,2.0,3.0,39.0,Bangalore North
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,Hiows C,1476,3.0,1.0,120.0,Bangalore South
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,,1070,2.0,1.0,55.0,Bangalore East
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,BrontLa,2160,4.0,2.0,172.0,Bangalore East
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,Putus L,1296,2.0,1.0,75.0,Bangalore South
Built-up  Area,Ready To Move,Chikkalasandra,2 Bedroom,,1800,1.0,1.0,128.0,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1570,3.0,3.0,64.5,Bangalore South
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Saace P,1300,2.0,3.0,110.0,Bangalore South
Built-up  Area,Ready To Move,Sarjapur,4 BHK,,1550,2.0,2.0,65.0,Bangalore South
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1.0,1.0,40.0,Bangalore South
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Kuownri,1870,3.0,,110.0,Bangalore North
Super built-up  Area,Ready To Move,Domlur,3 BHK,Valipf ,1429,3.0,3.0,86.0,Bangalore East
Super built-up  Area,Ready To Move,Kengeri,3 BHK,,1188,2.0,2.0,38.0,Bangalore South
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,,1200,4.0,2.0,285.0,Bangalore South
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Inensba,1574Sq. Yards,3.0,1.0,76.0,Bangalore South
Super built-up  Area,Ready To Move,Nagarbhavi,1 BHK,MaentNa,884,2.0,2.0,36.0,Bangalore South
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1194,2.0,2.0,46.0,Bangalore South
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,,1115,2.0,2.0,50.0,Bangalore South
Plot  Area,Ready To Move,Hebbal Kempapura,2 Bedroom,,1200,2.0,1.0,125.0,Bangalore North
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2690,4.0,3.0,191.0,Bangalore East
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Mayne A,975,2.0,1.0,58.0,Bangalore South
Plot  Area,Ready To Move,Hosa Road,3 Bedroom,,675,3.0,2.0,72.5,Bangalore South
Plot  Area,17-Dec,Banashankari,3 Bedroom,,600,3.0,1.0,100.0,Bangalore South
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,,1101,2.0,2.0,65.5,Bangalore East
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Maana E,1700,3.0,3.0,135.0,Bangalore South
Super built-up  Area,Ready To Move,Whitefield,4 BHK,PrOakSi,3606,4.0,2.0,312.0,Bangalore East
Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,ACersd ,1258,2.0,2.0,115.0,Bangalore South
Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,Advash ,1560,3.0,,92.0,Bangalore South
Super built-up  Area,Ready To Move,Old Madras Road,4 BHK,Brica E,3630,6.0,1.0,195.0,Bangalore North
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,4.0,3.0,198.0,Bangalore North
Super built-up  Area,18-Oct,Hennur Road,3 BHK,Puachal,1482,2.0,1.0,87.0,Bangalore North
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,,1185,2.0,2.0,47.39,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,RatosAr,1100,2.0,2.0,71.5,Bangalore South
Super built-up  Area,Ready To Move,4th Block Koramangala,2 BHK,EvestPi,1225,2.0,2.0,150.0,Bangalore South
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,,1758,3.0,2.0,65.0,Bangalore South
Super built-up  Area,Ready To Move,Banaswadi,2 BHK,,1145,2.0,2.0,55.0,Bangalore North
Built-up  Area,Ready To Move,Hormavu,2 BHK,BhncyRe,1180,2.0,2.0,50.0,Bangalore South
Super built-up  Area,19-Jun,Yelahanka,4 BHK,Vaaram ,3450 - 3472,,,173.0,Bangalore North
Built-up  Area,Ready To Move,Arekere,2 BHK,DancyRe,1190,2.0,2.0,55.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691,3.0,2.0,119.0,Bangalore South
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Frhts H,1305,3.0,,95.45,Bangalore North
Super built-up  Area,20-Dec,Domlur,2 BHK,,1206,2.0,1.0,217.0,Bangalore East
Plot  Area,Ready To Move,Vignana Nagar,5 Bedroom,,1350,4.0,1.0,130.0,Bangalore East
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1140,2.0,1.0,50.66,Bangalore North
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,ShshaSa,1020,2.0,1.0,58.0,Bangalore North
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Loente ,1510,2.0,1.0,75.0,Bangalore North
Plot  Area,Ready To Move,Kasavanhalli,5 Bedroom,,5800,7.0,,1200.0,Bangalore South
Plot  Area,Ready To Move,Yeshwanthpur,3 Bedroom,,682,2.0,1.0,130.0,Bangalore North
Plot  Area,Ready To Move,Gottigere,2 Bedroom,,1200,2.0,0.0,95.0,Bangalore South
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,,1041,2.0,2.0,65.5,Bangalore East
Built-up  Area,Ready To Move,7th Phase JP Nagar,6 BHK,BriumMi,5080,7.0,,450.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1530,3.0,2.0,74.5,Bangalore East
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,NCdgerj,1450,2.0,2.0,135.0,Bangalore South
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,Hiate F,1200,2.0,2.0,75.0,Bangalore South
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1188,2.0,3.0,73.0,Bangalore East
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2690,4.0,3.0,199.0,Bangalore East
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,76.0,Bangalore South
Super built-up  Area,19-Dec,Old Madras Road,3 BHK,SheldGr,1350,3.0,1.0,58.99,Bangalore North
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Bamita ,1870,3.0,3.0,185.0,Bangalore North
Super built-up  Area,18-Jun,Kengeri Satellite Town,2 BHK,DSestSt,1072,2.0,1.0,25.0,Bangalore South
Super built-up  Area,18-Nov,Kengeri,2 BHK,VBn 2lm,726,2.0,1.0,31.0,Bangalore South
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,45.0,Bangalore South
Built-up  Area,Ready To Move,Nagavarapalya,2 BHK,,980,2.0,0.0,37.0,Bangalore North
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1050,2.0,1.0,77.0,Bangalore South
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,993,2.0,1.0,39.71,Bangalore South
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,,1300,2.0,2.0,52.0,Bangalore South
Plot  Area,Ready To Move,Whitefield,4 Bedroom,,1204,4.0,1.0,125.0,Bangalore East
Plot  Area,Ready To Move,Hormavu,2 Bedroom,,1200,2.0,0.0,67.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Sondaka,950,2.0,2.0,32.5,Bangalore South
Built-up  Area,Ready To Move,Domlur,1 BHK,Saiewas,640,1.0,0.0,55.0,Bangalore East
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,MJtroty,972,2.0,1.0,44.0,Bangalore South
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,PadgeOa,1840,3.0,3.0,98.0,Bangalore East
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,64.0,Bangalore South
Super built-up  Area,Ready To Move,BTM Layout,2 BHK,Mames M,1150,2.0,2.0,63.0,Bangalore South
Built-up  Area,19-Mar,Hennur Road,4 Bedroom,Gollela,3450,4.0,3.0,294.0,Bangalore North
Super built-up  Area,18-Jun,Bommasandra Industrial Area,2 BHK,,1030,2.0,1.0,41.0,Bangalore South
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,101.0,Bangalore North
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SirlsPe,1045,2.0,1.0,45.0,Bangalore South
Plot  Area,Ready To Move,Hegde Nagar,4 Bedroom,,1200,4.0,1.0,83.0,Bangalore North
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,,1277,2.0,2.0,55.0,Bangalore South
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,1846,3.0,2.0,140.0,Bangalore South
Plot  Area,17-Jul,Hormavu,2 Bedroom,,1200,3.0,0.0,70.0,Bangalore South
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,InllaPa,3042,4.0,0.0,131.0,Bangalore North
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3.0,3.0,223.0,Bangalore South
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,SGiewrk,1135,2.0,2.0,58.0,Bangalore South
Super built-up  Area,Ready To Move,Begur Road,3 BHK,,1615,3.0,2.0,60.0,Bangalore South
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,AnaveEn,1150,2.0,3.0,42.0,Bangalore East
Plot  Area,Ready To Move,Kothannur,6 Bedroom,,930,6.0,1.0,135.0,Bangalore South
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Sahtsva,1354,3.0,1.0,90.0,Bangalore North
Built-up  Area,Ready To Move,Arekere,1 BHK,,600,1.0,1.0,28.0,Bangalore South
Plot  Area,Ready To Move,Varthur,4 Bedroom,SLncyaj,1320,2.0,1.0,110.0,Bangalore South
Super built-up  Area,18-May,Koramangala,3 BHK,,1600,3.0,2.0,88.0,Bangalore South
Built-up  Area,Ready To Move,Kanakpura Road,4 Bedroom,ColeyNa,3500,6.0,2.0,225.0,Bangalore South
Plot  Area,Ready To Move,KR Puram,8 Bedroom,,1200,12.0,,110.0,Bangalore East
Super built-up  Area,18-Apr,Kudlu Gate,3 BHK,,1364,2.0,3.0,46.38,Bangalore South
